,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
198,833,1053,628,456,1543,1306,402,641,638,841,436,606,2230,4569,2535,4106,3108,6117,4506356
199,219,140,218,118,602,225,660,290,502,377,381,513,1296,2372,1145,2088,1185,2798,2374594
200,286,371,180,164,476,462,485,183,245,361,375,182,908,1628,675,1879,1100,2131,2112350
201,461,618,131,360,230,506,375,325,170,382,344,196,850,2631,720,2050,980,2347,714070
202,602,328,442,279,396,340,567,175,224,564,327,241,1365,2683,820,2322,1318,1917,2287573
203,415,278,360,301,475,853,125,246,305,498,224,447,1148,3015,1232,1900,1157,2833,2209473
204,325,623,175,305,440,639,398,155,302,397,254,270,1211,2593,849,2038,1231,2307,1882676
205,49450,73575,65550,56000,61250,49000,31625,40350,45825,61500,74250,52825,195199,424740,111490,415633,122181,404852,147798455
206,51100,56600,70375,73850,72800,85600,37175,48675,58025,61725,69450,57475,142767,462815,240626,484557,187852,397763,255447752
207,58450,57900,68075,38800,57775,73750,44500,44050,48050,65375,44675,37700,171971,290873,198699,380528,159409,319495,271064238
208,67900,23175,66275,16300,47825,27575,33875,18425,43975,39375,28575,30675,138173,272436,83890,255342,82987,269742,196109256
209,30000,33375,29900,22075,44825,16650,19025,22900,32250,17475,18450,35850,56416,205162,77732,189617,76786,192136,107918821
210,42000,68525,58100,68600,46875,36050,28225,26050,50700,69100,42450,68625,176643,390160,142799,322207,187100,388267,257020630
211,49300,51350,53275,70825,93275,57125,61275,47275,72400,58000,44475,45625,134303,419259,156053,464146,226624,435485,374104668
212,63500,73175,43625,40575,83425,79000,63125,58825,53450,71050,58200,55575,127311,483099,211364,384555,219547,490126,414786164
213,48500,25000,34600,15325,49975,47625,40925,28625,29050,45675,32650,22675,103293,262526,131841,202008,134161,253198,173166539
214,41075,34275,72975,29300,55950,53825,19825,28300,30275,24500,28300,30850,119153,241884,79804,197454,75809,230794,262921365
215,1527,1923,2656,5555,2028,1432,1013,1747,1858,1771,2243,1532,7138,14326,7716,14551,7298,15613,15665197
216,1519,2040,1305,1937,1928,2433,1340,1250,1450,1479,2239,1381,3485,9879,5244,10942,5869,9432,9870146
217,1674,1429,1512,1574,1868,2111,1495,1190,1615,1286,1379,1311,5924,10958,4739,9849,5453,11314,10089803
218,1796,837,1358,620,1403,924,798,503,2273,1219,1084,995,3051,6483,2936,6516,3134,7460,7378810
219,926,1272,948,746,1048,902,594,925,621,576,955,1483,2926,5493,3466,5539,3512,4871,4527740
220,1031,1367,1085,1558,1175,869,710,599,1291,1552,1295,1117,2823,6150,3728,8508,3897,8985,6415585
221,1139,972,1048,1798,1722,1607,1313,1043,1695,1395,2943,810,5339,8133,3832,9094,4088,9039,10275258
222,1069,1296,936,1953,1593,1497,1466,1177,1069,1099,1247,4017,4416,10810,3712,9925,4993,7684,11668083
223,931,543,619,495,1142,946,1029,419,1050,690,616,696,2064,5778,2874,4906,2976,5858,5182820
224,1159,509,577,809,2973,1335,371,616,885,390,806,509,1895,4761,2917,5643,1978,7104,6168162
225,333,303,399,105,397,582,224,120,164,191,267,85,741,1795,1055,1417,907,1789,1063581
226,132,470,238,180,458,196,549,149,298,183,432,278,1183,2281,658,2137,969,1828,2011179
227,330,217,1007,610,290,466,267,516,269,342,267,461,1140,2612,1194,2285,1067,2684,2810021
228,435,330,478,638,210,645,138,505,749,400,471,279,1180,3396,1108,3439,1748,3441,2716400
229,296,454,545,313,484,504,364,588,1001,326,348,537,1341,3297,1137,3656,1286,2427,2429871
230,598,685,554,841,530,1012,1135,2148,1077,1903,317,630,1906,7202,2245,6716,3656,6954,6592947
231,1364,1247,603,274,978,421,1266,413,561,824,1339,1328,2295,6553,3041,5131,2988,4527,5159728
232,684,685,718,1210,356,837,1218,1232,1395,596,1049,1217,2795,5092,3400,5366,2404,5840,6158238
233,455,1009,1339,1568,530,1088,1102,1280,1678,1272,1036,1928,3465,7106,3387,7127,4308,6491,8759212
